,Title,Subtitle,Link
0,TIME TO KYL,'Can we buy Mbappe?' - Brailsford's cheeky reply to Man Utd fan's transfer plea,https://www.thesun.co.uk/sport/25975541/mbappe-dave-brailsford-man-utd-transfer/
1,SAUD AND DONE,Salah 'will definitely leave Liverpool' says legend who claims deal 'done',https://www.thesun.co.uk/sport/25990925/mo-salah-leave-liverpool-mark-lawrenson/
2,STAR IN DOCK,Ex-footballer Michael Boateng appears in court over £1m haul of crystal meth,https://www.thesun.co.uk/sport/25989894/ex-footballer-michael-boateng-charged-over-crystal-meth-haul/
3,ROY SHOCK,Crystal Palace stars 'distressed' as Hodgson rushed to hospital after falling ill,https://www.thesun.co.uk/sport/25989972/crystal-palace-players-distressed-roy-hodgson-rushed-hospital-ill/
4,MIGHTY OFFER,Man City vs Chelsea: Get 30/1 for a goal to be scored on Saturday with Betfair,https://www.thesun.co.uk/sport/25957217/man-city-chelsea-odds-betfair-goal-offer/
5,NO IFS NO BUTTS,Georgina Rodriguez shakes bum dancing after having backside edited out,https://www.thesun.co.uk/sport/25984461/georgina-rodriguez-bum-dance-class-iranian-newspaper-edits-backside/
6,WILL HE GO?,Former Chelsea and Arsenal star Willian announces plans for career change,https://www.thesun.co.uk/sport/25987261/willian-chelsea-arsenal-fulham-career-marco-silva/
7,TU HARSH,Thomas Tuchel's brutal seven-word assessment of Bayern Munich flops revealed,https://www.thesun.co.uk/sport/25980449/thomas-tuchel-bayern-munich-sack-statement-players/
8,PITCH PERFECT,Pogba 'could return to pitch tomorrow' as agent gives doping scandal update,https://www.thesun.co.uk/sport/25978888/paul-pogba-doping-update-rafaela-pimenta-juventus/
9,TRANSIT,"Win a Ford Transit or £30,000 cash from just 63p with our discount code",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
10,BUM'S AWAY,Farce as Iranian newspaper edits out bum of Cristiano Ronaldo's partner from pic,https://www.thesun.co.uk/sport/25970530/cristiano-ronaldo-partner-georgina-bum-edited-iran/
11,SUPER SATURDAY,"Man City vs Chelsea preview: Best free betting tips, odds and predictions",https://www.thesun.co.uk/sport/25886703/man-city-chelsea-odds-betting-tips-preview/
